User_ID,Name,Age,City,Annual_Salary,HRA_Received,Investment_80C,Medical_Insurance_80D,NPS_Contribution_80CCD,Home_Loan_Interest_24b,Home_Loan_Principal_80C,Donations_80G,Regime,Total_Deductions,Taxable_Income,Groceries,Utilities,Healthcare,Education,Entertainment,Rent_Paid,Total_Expenses,Savings,Expense_Ratio,Tax_Old_Regime,Tax_New_Regime,Best_Regime,Tax_Savings
U0000,Ehsaan Bains,31,Madhyamgram,1593104,171999,49812,249,27281,100000,56630,22948,Old,200290,1342814,73865.0,40726.0,98464.0,49669.0,53348.0,145633,459628.0,1133476.0,0.29,215344.2,118562.8,New Regime,96781.40000000001
U0001,Alisha Andra,44,Pali,1898189,164793,108946,19309,48442,0,140287,2024,New,178721,1669468,39791.0,76563.0,90815.0,69763.0,30347.0,288015,600676.0,1297513.0,0.32,313340.4,200840.4,New Regime,112500.00000000003
U0002,Rania Viswanathan,53,Pallavaram,1487341,235763,66668,25901,28091,100000,131025,16713,Old,237373,1199968,67960.0,40651.0,45053.0,40279.0,49112.0,176111,420642.0,1066699.0,0.28,172490.4,89995.2,New Regime,82495.2
U0003,Eva Vohra,39,Pondicherry,2400896,245229,99003,23576,38328,100000,87580,2486,New,263393,2087503,101349.0,28330.0,20502.0,33887.0,99234.0,149286,431577.0,1969319.0,0.18,438750.89999999997,326250.9,New Regime,112499.99999999994
U0004,Sahil Dewan,35,Junagadh,1764652,158177,42998,31508,48219,100000,77462,1155,Old,223880,1490772,79129.0,54834.0,27193.0,87181.0,62885.0,173269,486111.0,1278541.0,0.28,259731.6,148154.4,New Regime,111577.20000000001
U0005,Kavya Bansal,32,Navi Mumbai,1243523,62289,104601,9175,18610,0,113396,10082,New,142468,1051055,81412.0,95987.0,73558.0,49541.0,58627.0,338635,701024.0,542499.0,0.56,127816.5,67658.25,New Regime,60158.25
U0006,Tanya Lad,53,Chandigarh,946237,226048,7812,25464,1079,100000,97037,4477,New,138832,757405,32522.0,55026.0,23937.0,72826.0,21282.0,154071,354615.0,591622.0,0.37,63981.0,30740.5,New Regime,33240.5
U0007,Mishti Soni,45,Jodhpur,1649728,224668,61844,16260,29850,0,95310,18569,New,126523,1473205,26642.0,34501.0,63950.0,61704.0,45018.0,301095,530347.0,1119381.0,0.32,254461.5,144641.0,New Regime,109820.5
U0008,Myra Halder,31,Rewa,1100903,204243,133251,35440,46751,100000,48928,7086,New,322528,728375,20548.0,92284.0,80203.0,85120.0,29993.0,110651,419937.0,680966.0,0.38,58175.0,27837.5,New Regime,30337.5
U0009,Inaaya  Rattan,50,Kanpur,492193,281513,74601,29546,20590,0,89876,2317,Old,127054,315139,87998.0,87325.0,62718.0,78758.0,52465.0,150202,520661.0,-28468.0,1.06,0.0,0.0,Old Regime,0.0
