User_ID,Name,Age,City,Annual_Salary,HRA_Received,Rent_Paid,Investment_80C,Medical_Insurance_80D,NPS_Contribution_80CCD,Home_Loan_Interest_24b,Home_Loan_Principal_80C,Donations_80G,Regime,Total_Deductions,Taxable_Income
U0000,Ehsaan Bains,31,Madhyamgram,1593104,171999,145633,49812,249,27281,100000,56630,22948,Old,200290,1342814
U0001,Alisha Andra,44,Pali,1898189,164793,288015,108946,19309,48442,0,140287,2024,New,178721,1669468
U0002,Rania Viswanathan,53,Pallavaram,1487341,235763,176111,66668,25901,28091,100000,131025,16713,Old,237373,1199968
U0003,Eva Vohra,39,Pondicherry,2400896,245229,149286,99003,23576,38328,100000,87580,2486,New,263393,2087503
U0004,Sahil Dewan,35,Junagadh,1764652,158177,173269,42998,31508,48219,100000,77462,1155,Old,223880,1490772
U0005,Kavya Bansal,32,Navi Mumbai,1243523,62289,338635,104601,9175,18610,0,113396,10082,New,142468,1051055
U0006,Tanya Lad,53,Chandigarh,946237,226048,154071,7812,25464,1079,100000,97037,4477,New,138832,757405
U0007,Mishti Soni,45,Jodhpur,1649728,224668,301095,61844,16260,29850,0,95310,18569,New,126523,1473205
U0008,Myra Halder,31,Rewa,1100903,204243,110651,133251,35440,46751,100000,48928,7086,New,322528,728375
U0009,Inaaya  Rattan,50,Kanpur,492193,281513,150202,74601,29546,20590,0,89876,2317,Old,127054,315139
U0010,Darshit Chand,43,Machilipatnam,905950,136365,128777,139347,40047,30951,200000,24976,3621,Old,413966,441984
U0011,Armaan Tara,47,Patna,1586887,299290,228066,47857,41430,15327,0,124984,4491,New,109105,1427782
U0012,Umang Tank,35,Bangalore,908153,280662,270706,125555,1987,12755,0,98256,15916,Old,156213,701940
U0013,Dishani Kadakia,35,Mumbai,1760642,164014,180158,20700,49242,7235,0,100537,15248,New,92425,1618217
U0014,Yuvaan Sha,48,Jorhat,1087409,225211,352944,93330,25105,17197,100000,135772,2511,New,238143,799266
U0015,Damini Solanki,45,Ajmer,1040053,229785,379967,144941,12948,21473,0,109331,24226,Old,203588,786465
U0016,Vritika Srinivasan,28,Panihati,1260395,210806,319647,63353,13026,2031,0,7526,9546,Old,87956,1122439
U0017,Bhamini Chad,32,Morena,2079748,122588,360852,100772,2773,41282,100000,103863,15612,New,260439,1769309
U0018,Mahika Brar,48,Patna,1098168,113646,223891,91502,45927,41863,0,73366,7848,Old,187140,861028
U0019,Dharmajan Kaul,27,Chinsurah,881680,53654,285977,113943,9878,14287,200000,56096,14274,New,352382,479298
U0020,Darshit Ramakrishnan,46,Panchkula,1371375,270094,143870,109850,42946,38679,200000,138982,21788,Old,413263,908112
U0021,Emir Luthra,45,Giridih,2385838,68743,89283,45095,10377,44463,100000,71185,21777,Old,221712,2114126
U0022,Ishita Chowdhury,26,Barasat,1492814,98368,241645,145342,7347,32230,0,50248,17677,Old,202596,1240218
U0023,Hiran Buch,48,Berhampur,2498404,271097,85774,15523,33776,19037,100000,133023,2465,Old,170801,2277603
U0024,Diya Keer,36,Jamnagar,1226196,255244,283127,62433,3783,27052,0,79888,16304,Old,109572,1066624
U0025,Zaina Kuruvilla,54,Sangli-Miraj & Kupwad,1934026,187513,222055,19991,4298,3340,0,94533,15669,New,43298,1840728
U0026,Farhan Ravel,30,Noida,715826,169735,176468,10775,4668,40644,0,41954,11294,Old,67381,598445
U0027,Vanya Talwar,26,Amravati,727359,205683,360277,84995,20671,48664,200000,89719,3175,Old,357505,319854
U0028,Taran Chawla,52,Shivpuri,406949,169891,80781,147745,34820,45203,0,139876,7849,New,235617,121332
U0029,Anvi Dhaliwal,45,Guntur,717537,157971,194586,122808,34484,1141,100000,595,12473,New,270906,396631
U0030,Tushar Varma,25,Kulti,950222,62149,369768,137686,33078,25425,100000,29592,9425,New,305614,594608
U0031,Emir Bahl,36,Jammu,1180722,150102,86823,7415,47159,19281,0,40643,12222,Old,86077,1044645
U0032,Rati Baria,50,Panchkula,1764133,109189,98489,148036,20922,42049,0,62665,8444,Old,219451,1494682
U0033,Emir Krish,46,Nadiad,2332247,288976,251033,37044,34028,20425,200000,5972,8210,New,299707,1982540
U0034,Charvi Walia,53,Jorhat,1753038,202747,371262,49976,45925,34806,100000,15882,2759,New,233466,1469572
U0035,Hunar Dube,36,Bathinda,650875,121031,180417,3832,20316,32113,100000,25020,16091,New,172352,428523
U0036,Saanvi Kulkarni,49,Aurangabad,863389,92668,161816,34148,11460,4270,0,102621,21639,New,71517,741872
U0037,Sana Bhakta,41,Akola,470390,194745,233335,112230,16968,42814,0,85374,24798,Old,196810,223580
U0038,Saanvi Issac,51,Parbhani,1107689,257738,355709,85076,30266,4683,0,44912,2,Old,120027,937662
U0039,Hiran Rajan,51,Ahmednagar,653490,138204,231426,38402,30209,49646,0,12879,24514,Old,142771,460719
U0040,Taimur Kala,34,Gaya,2015952,261830,254023,38578,24000,39884,0,33798,17643,Old,120105,1845847
